env,algo,schedule,eval_mode,is_reward_stressor,episodes,reward_mean,reward_std,cvar_shock_05,cvar_shock_25,identity_mean,identity_std,id_drop_pre_to_shock,integrity_drop_pre_to_shock,meaning_drop_pre_to_shock,competence_pre,competence_shock,competence_drop,coherence_pre,coherence_shock,coherence_drop,continuity_pre,continuity_shock,continuity_drop,integrity_pre,integrity_shock,integrity_drop,meaning_pre,meaning_shock,meaning_drop,mad_competence,mad_coherence,mad_continuity,mad_integrity,mad_meaning,collapse_score_shock_mean,collapse_event_shock,collapse_event_threshold,collapse_rate_mean,collapse_rate_pre,collapse_rate_shock,collapse_rate_post,fpr_actual,fpr_target,obs_normalize,suite,algo_family,reward_norm,leaderboard_score
ALE/Pong-v5,ppo,baseline,deterministic,0.0,120.0,-20.749166666666664,0.49174511045634717,-21.0,-21.0,0.7612822168711274,0.09757655848382026,0.07051666140558985,-0.02473402165963279,0.18986561058198292,0.5270250450076872,0.5038017589911757,0.02322328601651134,0.7344011487756994,0.7352395264436613,-0.0008383776679617798,0.8547172385750207,0.8720916314624244,-0.01737439288740372,0.8445446326515968,0.8692786543112296,-0.02473402165963279,1.0,0.810134389418017,0.18986561058198292,0.01103397460094231,0.01577842622455377,0.0642625709391624,0.053785260037255034,0.0,0.3847027473908427,0.1,0.954766947253674,0.05499999999999994,0.05,0.06,0.05500000000000001,0.05,0.05,1.0,Atari,On-Policy,0.01422129725979895,0.70283841386809
ALE/Pong-v5,a2c,baseline,deterministic,0.0,120.0,-20.923333333333332,0.12297244497131146,-21.0,-21.0,0.9430747417287669,0.01979206458836117,0.015269726173827899,-0.00027445199385377726,0.03583566415764624,0.5273087078154185,0.5036873553806587,0.0236213524347597,0.980207716651762,0.9805129250903443,-0.000305208438582301,0.9921938207923222,0.9919523504059955,0.0002414703863268173,0.9928651516080308,0.9931396036018846,-0.00027445199385377726,1.0,0.9641643358423538,0.03583566415764624,0.010716855031993239,0.00101963070360792,0.0043905121780113,0.0025278573038900994,0.0,0.9224411773870216,0.9,0.9938119810745901,0.6224999999999999,0.0675,0.9,0.9,0.0675,0.05,1.0,Atari,On-Policy,0.002138975604116109,0.5490119542914393
ALE/Pong-v5,a2c,baseline,stochastic,0.0,120.0,-19.63583333333333,1.806781738628049,-21.0,-20.97,0.6612776053379059,0.10082692413955319,0.09789930869656244,0.0031820831731035,0.3085086720793656,0.5259228045935422,0.5058937758785063,0.02002902871503598,0.2172780174501995,0.21763845687321096,-0.000360439423011428,0.9323906159894106,0.9310236321696019,0.0013669838198086693,0.9521591908757621,0.9489771077026585,0.0031820831731035,1.0,0.6914913279206344,0.3085086720793656,0.01016069763431152,0.00943397852953378,0.02207864667406015,0.01607077510919669,0.0,0.4295930677837885,0.0,0.9459912046287704,0.062499999999999965,0.05,0.0725,0.065,0.05,0.05,1.0,Atari,On-Policy,0.09145565961382832,0.6556710318779225
ALE/Pong-v5,ppo,baseline,stochastic,0.0,120.0,-20.146666666666665,1.3610275638206222,-21.0,-20.990000000000002,0.6433519147780596,0.09960201268756655,0.09976005565666539,-0.00484622498638419,0.31182351371661676,0.5265570930337634,0.5048668675514774,0.021690225482285868,0.2088319724956472,0.20618535060250479,0.00264662189314239,0.9059003041331819,0.9131032197253279,-0.00720291559214611,0.932176974222814,0.9370231992091982,-0.00484622498638419,1.0,0.6881764862833832,0.31182351371661676,0.010547493671859259,0.0109349577807221,0.03285077876177034,0.02361816262408814,0.0,0.44728343639138834,0.0,0.9246616290839735,0.05083333333333331,0.05,0.0625,0.04,0.05,0.05,1.0,Atari,On-Policy,0.056018036767256404,0.6434962586430213
ALE/Pong-v5,a2c,concept_drift,deterministic,0.0,120.0,-20.887709475841493,0.9045696202865683,-23.571656024398575,-22.591739898558984,0.8671085369100215,0.12254253065591061,0.2546874562514339,0.05288213831024495,0.9571899671801551,0.5273400594207739,0.5048255811676674,0.022514478253106478,0.9799265817024162,0.9850334042199069,-0.005106822517490691,0.9922208562634987,0.9599551532175804,0.032265703045918345,0.9921383913341197,0.9392562530238747,0.05288213831024495,1.0,0.042810032819844815,0.9571899671801551,0.00665465509817086,0.0008973192753053199,0.005656872874733336,0.003994799422711864,0.0,0.9655457052017693,0.8,0.9938119810745901,0.305,0.0475,0.82,0.0475,0.0475,0.05,1.0,Atari,On-Policy,0.004610280320858295,0.5316012373486406
ALE/Pong-v5,ppo,concept_drift,deterministic,0.0,120.0,-20.72751202989796,1.0050084730300795,-23.709156374877814,-22.565055010069955,0.6505683312147342,0.17597054111388566,0.3727961039110707,0.17243484768471148,0.9543492872168633,0.5271635774799067,0.5047522791261742,0.0224112983537325,0.7290297902474157,0.7706350770322705,-0.041605286784854825,0.8355564858659111,0.8112616692724395,0.02429481659347162,0.8426068761215848,0.6701720284368733,0.17243484768471148,1.0,0.04565071278313665,0.9543492872168633,0.00572607007587726,0.01903953957007143,0.09326348453549407,0.0617673342453234,0.0,0.8066608922737748,0.4,0.954766947253674,0.27666666666666667,0.12,0.4375,0.2725,0.12,0.05,1.0,Atari,On-Policy,0.015723526657558586,0.5289211111667376
ALE/Pong-v5,ppo,concept_drift,stochastic,0.0,120.0,-20.137925047788872,1.6307869375593598,-23.45967189291507,-22.422500332286056,0.5771865770487039,0.14536258274640085,0.3049527067717347,0.07935394740410448,0.947308261882281,0.5262905038960444,0.5059157186553334,0.02037478524071093,0.20842947226505668,0.22296434910248003,-0.014534876837423372,0.9114887393030274,0.900363076954954,0.01112566234807339,0.9338398123000466,0.8544858648959422,0.07935394740410448,1.0,0.052691738117719045,0.947308261882281,0.006346509013704429,0.00929722452555148,0.03997818750553764,0.02675630875879853,0.0,0.7182406828242403,0.5,0.9246616290839735,0.3,0.15750000000000003,0.5275000000000001,0.215,0.15750000000000003,0.05,1.0,Atari,On-Policy,0.05662446194088056,0.46769628666791924
ALE/Pong-v5,a2c,concept_drift,stochastic,0.0,120.0,-19.76077923950505,1.9722584832667234,-23.26747685898517,-22.176899602062463,0.6011697211615157,0.1356700858747793,0.2850389720006299,0.027343210186884032,0.9424171542431191,0.5260475652370589,0.5063475275832892,0.01970003765376984,0.21638204419573476,0.21152814557417732,0.00485389862155746,0.9299166935219938,0.9280526482431333,0.0018640452788606533,0.9511270008238715,0.9237837906369875,0.027343210186884032,1.0,0.05758284575688087,0.9424171542431191,0.0056064215108758,0.00866869268567725,0.0184419262902492,0.01455779765025498,0.0,0.8866064471827857,0.5,0.9459912046287704,0.3466666666666666,0.12250000000000001,0.585,0.33249999999999996,0.12250000000000001,0.05,1.0,Atari,On-Policy,0.08278788950132598,0.46756153006403256
ALE/Pong-v5,a2c,observation_noise,deterministic,0.0,120.0,-20.893333333333334,0.22462314118441923,-21.0,-21.0,0.9494243059500338,0.0076893674403069,0.007807278165087689,0.029406097622698597,0.0,0.5272769279818286,0.5036036269164932,0.02367330106533544,0.9803302958551724,0.9695903995195309,0.01073989633564145,0.9918051268488706,0.9957168365340368,-0.003911709685166212,0.9919989215557254,0.9625928239330269,0.029406097622698597,1.0,1.0,0.0,0.00665465509817086,0.0008973192753053199,0.005656872874733336,0.003994799422711864,0.0,0.998831115661142,0.9,0.9938119810745901,0.06916666666666665,0.027500000000000004,0.14500000000000002,0.034999999999999996,0.027500000000000004,0.05,1.0,Atari,On-Policy,0.004220141056769428,0.7793163894310341
ALE/Pong-v5,ppo,observation_noise,deterministic,0.0,120.0,-20.648333333333333,0.7205631391347869,-21.0,-21.0,0.6182173766775803,0.2229318432478084,0.48286681285688376,0.3690876344179378,0.9573664715686927,0.5270677567130664,0.5044838382664758,0.0225839184465906,0.726981628391419,0.27786292381612054,0.4491187045752983,0.8394728890298826,0.905694443638601,-0.06622155460871837,0.8430949077138237,0.47400727329588577,0.3690876344179378,1.0,0.0426335284313073,0.9573664715686927,0.00572607007587726,0.01903953957007143,0.09326348453549407,0.0617673342453234,0.0,0.9852720255426908,0.7,0.954766947253674,0.37916666666666665,0.1775,0.6925,0.2675,0.1775,0.05,1.0,Atari,On-Policy,0.021216325586772965,0.4354520060106851
